begin;open;close;high;low;value;volume;name
2022-09-07 00:00:00;136.96;136.86;139.19;135.41;8339250748.2;60753730;SBER
2022-09-08 00:00:00;136.69;134.51;137.4;134.0;7829982200.8;57744420;SBER
2022-09-09 00:00:00;134.41;138.15;138.47;134.23;6696870325.8;49115280;SBER
2022-09-12 00:00:00;137.07;138.7;140.37;136.8;7304865311.8;52610620;SBER
2022-09-13 00:00:00;138.7;137.0;139.37;136.15;6135930533.9;44582700;SBER
2022-09-14 00:00:00;136.6;138.9;139.29;135.2;8599239020.7;62838520;SBER
2022-09-15 00:00:00;139.15;139.48;140.28;137.61;7819974773.2;56243810;SBER
2022-09-16 00:00:00;139.37;137.73;141.39;136.8;9983110793.7;71799280;SBER
2022-09-19 00:00:00;137.4;138.04;139.08;137.07;4590344282.8;33272190;SBER
2022-09-20 00:00:00;137.87;125.1;138.35;122.42;27120994882.9;208947780;SBER
2022-09-21 00:00:00;112.5;120.23;123.98;109.27;16327145213.9;136625430;SBER
2022-09-22 00:00:00;120.25;124.31;126.95;120.25;14562188054.0;117479960;SBER
2022-09-23 00:00:00;124.49;119.39;124.5;117.35;10311649883.2;85906070;SBER
2022-09-26 00:00:00;114.0;107.06;117.99;105.0;16617787749.1;148638170;SBER
2022-09-27 00:00:00;110.0;112.92;113.89;107.07;10025188385.2;90981060;SBER
2022-09-28 00:00:00;112.0;111.06;115.2;109.13;8720766869.9;77969660;SBER
2022-09-29 00:00:00;111.59;110.41;112.2;107.68;7411211658.2;67487760;SBER
2022-09-30 00:00:00;111.0;110.21;113.4;103.4;14569420124.9;133569040;SBER
2022-10-03 00:00:00;110.62;114.35;114.65;109.0;8280923624.7;73960960;SBER
2022-10-04 00:00:00;115.06;110.55;115.5;110.3;9371218814.4;83564680;SBER
2022-10-05 00:00:00;110.49;108.51;110.49;106.25;9776634296.1;90416920;SBER
2022-10-06 00:00:00;108.65;108.24;110.38;107.57;5630301035.4;51741480;SBER
2022-10-07 00:00:00;107.7;101.5;108.48;101.3;9560941533.5;90989490;SBER
2022-10-10 00:00:00;96.55;106.71;106.77;96.5;12100541809.1;117465350;SBER
2022-10-11 00:00:00;106.5;107.72;108.3;104.26;8212972233.2;76962080;SBER
2022-10-12 00:00:00;108.27;105.9;108.5;105.25;6748220830.6;63378400;SBER
2022-10-13 00:00:00;105.72;106.5;107.3;104.8;4973132486.8;46849810;SBER
2022-10-14 00:00:00;106.92;107.78;109.19;105.69;5631814421.3;52565400;SBER
2022-10-17 00:00:00;107.93;112.44;112.76;107.65;8680124454.5;78496550;SBER
2022-10-18 00:00:00;113.05;110.88;114.37;110.48;11468880403.2;101854810;SBER
2022-10-19 00:00:00;110.12;112.39;112.93;109.3;10047779304.8;90693010;SBER
2022-10-20 00:00:00;112.75;116.98;117.2;112.37;11611619802.2;100723600;SBER
2022-10-21 00:00:00;116.93;119.45;119.94;114.37;11996337348.7;102382050;SBER
2022-10-24 00:00:00;120.15;118.8;121.68;117.65;8899628781.0;74539310;SBER
2022-10-25 00:00:00;118.84;124.36;125.2;118.3;13988406291.3;114156750;SBER
2022-10-26 00:00:00;124.7;124.43;126.88;122.1;13490587416.3;108495360;SBER
2022-10-27 00:00:00;124.75;126.61;127.5;123.68;11099070231.0;87915140;SBER
2022-10-28 00:00:00;126.14;126.97;127.25;124.6;9289876913.2;73660000;SBER
2022-10-31 00:00:00;127.2;126.72;128.6;125.41;7705148783.6;60762870;SBER
2022-11-01 00:00:00;127.2;127.05;127.97;126.12;4678424679.9;36820880;SBER
2022-11-02 00:00:00;127.06;125.49;127.74;123.75;5091797153.1;40216620;SBER
2022-11-03 00:00:00;125.4;125.75;126.1;123.91;5968383629.5;47720130;SBER
2022-11-07 00:00:00;127.09;132.0;132.0;126.5;11884172361.2;91709630;SBER
2022-11-08 00:00:00;132.0;131.29;133.11;130.1;9132676225.5;69556040;SBER
2022-11-09 00:00:00;131.06;127.3;131.47;126.42;8392114411.7;64961510;SBER
2022-11-10 00:00:00;131.0;136.68;136.69;129.77;22986670666.3;171748310;SBER
2022-11-11 00:00:00;137.9;136.98;138.42;135.13;10343394282.0;75710240;SBER
2022-11-14 00:00:00;137.5;139.8;140.7;135.83;11457421132.4;82521030;SBER
2022-11-15 00:00:00;140.49;135.66;141.0;130.86;19905669470.0;145543250;SBER
2022-11-16 00:00:00;136.99;139.18;139.73;136.32;9275650502.9;67090170;SBER
2022-11-17 00:00:00;139.09;137.57;140.35;136.6;8183196558.2;59160240;SBER
2022-11-18 00:00:00;137.08;136.89;137.81;135.84;6017150012.2;44076540;SBER
2022-11-21 00:00:00;136.01;134.46;136.3;132.51;11204179692.7;83599930;SBER
2022-11-22 00:00:00;134.55;135.65;136.0;133.81;6185848298.4;45822990;SBER
2022-11-23 00:00:00;135.7;136.59;137.55;134.5;7131237802.3;52302020;SBER
2022-11-24 00:00:00;137.0;136.61;138.41;136.12;5825797012.7;42388720;SBER
2022-11-25 00:00:00;137.2;136.53;137.24;135.41;4032240523.4;29618830;SBER
